2018-03-30 23:28:31.1522432711 , 60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , ARP , 97.50.10.50 , 20.1.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:28:31.1522432711 , 60 , 64:cc:2e:16:da:3f , 48:45:20:44:0:9d , ARP , 218.63.10.50 , 22.29.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:33:26.1522433006 , 60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , ARP , 97.50.10.50 , 20.1.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:33:27.1522433007 , 60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , ARP , 97.50.10.50 , 20.1.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:33:29.1522433009 , 42 , 48:50:73:c2:22:a8 , 48:45:20:44:0:9d , ARP , 34.168.10.50 , 23.199.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:33:29.1522433009 , 60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , ARP , 97.50.10.50 , 20.1.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:33:29.1522433009 , 60 , 64:cc:2e:13:6b:ab , 48:45:20:44:0:9d , ARP , 107.171.10.50 , 21.82.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:33:30.1522433010 , 60 , 64:cc:2e:16:da:3f , 48:45:20:44:0:9d , ARP , 218.63.10.50 , 22.29.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:37:38.1522433258 , 75 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.101 , UDP , 56035 , 53 
2018-03-30 23:37:38.1522433258 , 75 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.101 , UDP , 56035 , 53 
2018-03-30 23:37:38.1522433258 , 253 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.101 , 10.50.20.175 , UDP , 53 , 56035 
2018-03-30 23:37:38.1522433258 , 137 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.101 , 10.50.20.175 , UDP , 53 , 56035 
2018-03-30 23:37:38.1522433258 , 629 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 172.217.163.174 , TCP , 47450 , 443 
2018-03-30 23:37:38.1522433258 , 66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.174 , 10.50.20.175 , TCP , 443 , 47450 
2018-03-30 23:37:38.1522433258 , 146 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.174 , 10.50.20.175 , TCP , 443 , 47450 
2018-03-30 23:37:38.1522433258 , 104 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.174 , 10.50.20.175 , TCP , 443 , 47450 
2018-03-30 23:37:38.1522433258 , 112 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.174 , 10.50.20.175 , TCP , 443 , 47450 
2018-03-30 23:37:38.1522433258 , 66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 172.217.163.174 , TCP , 47450 , 443 
2018-03-30 23:37:38.1522433258 , 112 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 172.217.163.174 , TCP , 47450 , 443 
2018-03-30 23:37:38.1522433258 , 66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.174 , 10.50.20.175 , TCP , 443 , 47450 
2018-03-30 23:37:45.1522433265 , 113 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.194.189 , 10.50.20.175 , TCP , 443 , 46328 
2018-03-30 23:37:45.1522433265 , 54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 172.217.194.189 , TCP , 46328 , 443 
2018-03-30 23:37:45.1522433265 , 84 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.101 , UDP , 56035 , 53 
2018-03-30 23:37:45.1522433265 , 84 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.101 , UDP , 56035 , 53 
2018-03-30 23:37:45.1522433265 , 145 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.101 , 10.50.20.175 , UDP , 53 , 56035 
2018-03-30 23:37:45.1522433265 , 145 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.101 , 10.50.20.175 , UDP , 53 , 56035 
2018-03-30 23:37:45.1522433265 , 95 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.101 , UDP , 56035 , 53 
2018-03-30 23:37:45.1522433265 , 95 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.101 , UDP , 56035 , 53 
2018-03-30 23:37:45.1522433265 , 146 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.101 , 10.50.20.175 , UDP , 53 , 56035 
2018-03-30 23:37:45.1522433265 , 158 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.101 , 10.50.20.175 , UDP , 53 , 56035 
